Region 1 (Ilocos Region,Region II (Cagayan Valley),Region III (Central Luzon),Region IV-A (CALABARZON),Region IV-B (MIMAROPA),Region V (Bicol),Region VI (Western Visayas),Region VII (Central Visayas),Region VIII (Eastern Visayas),Region IX (Zamboanga Peninsula),Region X (Northern Mindanao),Region XI (Davao Region),Region XII (SOCCSKARGEN),Region XIII (Caraga),NCR (National Capital Region),CAR (Cordillera Administrative Region),BARMM (Bangsamoro Autonomous Region in Muslim Mindanao)
Asbury College,Aldersgate College,Academia de San Lorenzo Dema Ala,ACTS Computer College,Abada College,Aemilianum College,Aklan Catholic College,Asian College of Technology International Educational,Abuyog Community College,Alhadeetha Mindanao College,Adventist Medical Center College,ACES Polytechnic College,Adventist College of Technology,ACLC College of Butuan City,Adamson University,Abra State Institute of Science And Technology-Bangued,Abubakar Computer Learning Center Foundation
Binalatongan Community College,Batanes State College,Angeles University Foundation,Adventist University of the Philippines,Ark of the Covenant Montessori Chamber of Learning,Alfelor Sr. Memorial College,Aklan State University-Banga Campus,Bantayan Southern Institute,"Asia College of Advance Studies In Arts, Sciences and Technology",Andres Bonifacio College,Blessed Mother College,Aces Tagum College,Asian Colleges and Technological Institute,Agusan Colleges,AMA Computer University,Abra State Institute of Science And Technology-Main,Academia de Tecnologia in Mindanao
CICOSAT Colleges,Cagayan State University-Andrews,Araullo University,Agoncillo College,Baco Community College,Amando Cope College,Aklan State University-Ibajay Campus,Baptist Theological College,Asian Development Foundation College,Ateneo de Zamboanga University,Bukidnon State University,Arriesgado College Foundation,B.E.S.T. College of Polomolok,Agusan del Sur College,Angelicum College,Abra Valley Colleges,Adiong Memorial Polytechnic State College
Colegio de Dagupan,Cagayan State University-Aparri,Araullo University-San Jose Campus,Alitagtag College,City College of Calapan,Annunciation College of Bacon Sorsogon Unit,Aklan State University-Kalibo Campus,Batuan Colleges,Bato Institute of Science and Technology,Aurora Pioneers Memorial College,Cagayan De Oro College,Assumption College of Davao,Brokenshire College SOCSKSARGEN,Agusan Del Sur State College of Agriculture and Technology,Arellano University-Malabon,Apayao State College-Luna,Al Bangsamoro Shari’Ah And Professional Education
Colegio De San Juan De Letran-Manaoag,Cagayan State University-Gonzaga,Asia Pacific College of Advanced Studies,All Nations College,Clarendon College,Aroroy Municipal College,Aklan State University-Makato,Benedicto College,Biliran Province State University-Biliran,Ave Maria College,Camiguin Polytechnic State College,Assumption College of Nabunturan,Central Mindanao Colleges,Andres Soriano Colleges of Bislig,Arellano University-Mandaluyong,Apayao State College-Main,Al Khwarizmi International College Foundation
Colegio San Jose De Alaminos,Cagayan State University-Lallo,Aurora State College of Technology-Main,Alpha Centauri Educational System,Colegio De San Sebastian-Sablayan,Ateneo de Naga University,Aklan State University-New Washington,BIT International College – Siquijor,Biliran Province State University-Main,Basilan State College,Capitol University,Ateneo de Davao University,Colegio de Kidapawan,Balite Institute of Technology-Butuan,Arellano University-Manila,Baguio Central University,Antonio R. Pacheco College
Dagupan Colleges Foundation,Cagayan State University-Lasam,Aurora State College of Techonolgy-Casiguran,AMA Computer College-Lucena,Divine Word College of Calapan,Baao Community College,Altavas College,BIT International College-Carmen,Christ the King College-Calbayog City,Blancia College Foundation,Central Mindanao University,Brokenshire College,Cotabato Foundation College of Science and Technology,Binnor Pangandaman Integrated College,Arellano University-Pasay,Benguet State University-Bokod Campus,As-Salihein Integrated School Foundation
Data Center College of the Philippines of Laoag City,Cagayan State University-Piat,Baliuag University,Asia Technological School of Science and Arts,Divine Word College of San Jose,Balud Municipal College,Bacolod City College,BIT International College-Tagbilaran,Colegio De Las Navas,Claret College of Isabela,Christ the King College,Caraga Technological Institute,Cotabato Foundation College of Science and Technology,Bucas Grande Foundation College,Arellano University-Pasig,Benguet State University-Buguias Campus,Bai Malgen Mama College
Divine Word College of Laoag,Cagayan State University-Sanchez Mira,Baliwag Polytechnic College,Asian Institute of Technology and Education-Tiaong,Eastern Mindoro College,Belen B. Francisco Foundation-Albay,Bago City College,BIT International College-Talibon,Colegio de San Juan Samar,Colegio de la Ciudad de Zamboanga,Christ The King College De Maranding,Christian Colleges of Southeast Asia,Cronasia Foundation College,Butuan City Colleges,Asian Institute of Journalism and Communication,Benguet State University-Main,Balabagan Trade School
